commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.25132870827089976,0.4280460350631186,0.0,0.0,0.0,0.0,23.0,hOcxct4xtmw,30.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.04369921680084061,0.13119961886475814,0.0,0.0,0.0,0.0,24.0,fzJilj9eTJs,34.0
15.0,1.4113885052834112,0.36425126380447076,501.0,427.0,2.0,abnormal insulin,0.11435309045447191,0.0,2.0,1.0,1.0,8.0,25.0,vkvqnozpVxY,11394.0
187.0,10.93171970297497,3.2844070474261127,4639.0,3122.0,42.0,abnormal insulin,0.05257359608766485,0.0,42.0,32.0,12.0,44.0,26.0,uKsoKtkvChA,53568.0
108.0,7.598057146177639,2.115049423369549,1656.0,1384.0,22.0,abnormal insulin,0.08352514928022893,0.0,22.0,11.0,24.0,29.0,27.0,MlHMtr2gXUw,45384.0
2.0,0.08453433351494806,0.0,28.0,25.0,1.0,abnormal insulin,0.0,0.28671097238046717,1.0,0.0,0.0,2.0,28.0,fOv2QWogwRM,3252.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.18327918083555725,0.11441403545788584,0.0,0.0,0.0,0.0,29.0,I6TKPcMYlik,208.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.17340659194528757,0.0,0.0,0.0,0.0,0.0,30.0,4r1WEq_SVvM,76.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.0,0.21156816801515263,0.0,0.0,0.0,0.0,31.0,zpi1nBRUejA,946.0
3.0,0.0,0.0,2.0,2.0,0.0,abnormal insulin,0.17280355571018277,0.0,0.0,0.0,1.0,1.0,32.0,sHJCt8gBLjE,1742.0
67.0,1.0657897451708505,0.7092955519040887,529.0,405.0,9.0,abnormal insulin,0.03203910615552379,0.0,9.0,6.0,2.0,5.0,33.0,ayuVb9-nFVo,44621.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.046709023671023316,0.11079581723916063,0.0,0.0,0.0,0.0,34.0,ZC3bpqcDLUw,709.0
29.0,2.7673284775861395,0.7928421029774596,387.0,321.0,7.0,abnormal insulin,0.019177838467673586,0.0,7.0,2.0,4.0,15.0,35.0,1p1cMFscF8s,32404.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.05870519812416283,0.0,0.0,0.0,0.0,0.0,36.0,JQVGWLsxp78,31.0
25.0,0.44387776624985165,0.323204817922037,256.0,234.0,8.0,abnormal insulin,0.098888274602867,0.1322282072398252,8.0,1.0,6.0,16.0,37.0,SbptFnLSwMc,4936.0
2.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.0,0.0,0.0,0.0,0.0,0.0,38.0,einwad99MkQ,243702.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.027878257979172427,0.184074521498381,0.0,0.0,0.0,0.0,39.0,xQNC2rM_LnQ,36.0
44.0,0.0,1.4139553196730166,830.0,676.0,15.0,abnormal insulin,0.0,0.0,15.0,5.0,8.0,22.0,40.0,ewgLd9N3s-4,312748.0
104.0,6.6828539272507665,4.157831488356545,3247.0,2033.0,19.0,abnormal insulin,0.03037476614597285,0.0,19.0,11.0,19.0,25.0,41.0,77KUvrWw2nQ,42835.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.10380050156440997,0.11501776030460342,0.0,0.0,0.0,0.0,42.0,Af17_dKFX4U,251.0
227.0,8.3432953754794,5.24179645037934,3890.0,2911.0,63.0,abnormal insulin,0.07250696223522325,0.0,63.0,27.0,16.0,50.0,43.0,yvfGuErYUyg,202349.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.0842170856875037,0.0,0.0,0.0,0.0,0.0,44.0,0cnUj3nDTJ4,4660.0
25.0,1.6150733677103706,0.6872817065488708,290.0,231.0,9.0,abnormal insulin,0.01805254737632598,0.11352961793517921,9.0,1.0,2.0,6.0,45.0,CgH9SKt2xGU,8819.0
0.0,0.0,0.0,0.0,0.0,1.0,abnormal insulin,0.17450920959453314,0.0,1.0,0.0,0.0,0.0,46.0,nh7-3Wgb9RE,484.0
433.0,0.0,2.303786795827687,2441.0,2006.0,112.0,abnormal insulin,0.0,0.0,112.0,54.0,21.0,22.0,47.0,1Izmyru5T_w,450315.0
17.0,0.9572599283940691,0.6201985698025697,315.0,257.0,0.0,abnormal insulin,0.1504338213015902,0.0,0.0,0.0,6.0,4.0,48.0,QTydxfkcTF4,22625.0
